TAZ,district,county,TOTACRE,county_id,TOTHH,HHPOP,EMPRES,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,AGE62P,SHPOP62P,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN,RESACRE,CIACRE,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TERMINAL,TOPOLOGY,household_density,employment_density,density_index
499,10,Santa Clara,959.546585176,3,2464.0,6692.0,3218.0,264.0,474.0,309.0,1417.0,428.0,1322.0,1842.0,2387.0,713.0,1054.0,0.157501494321578,1604.0,449.0,127.0,262.0,0.0,24.0,742.0,355.4063325595398,53.28948638955399,0.0,0.0,4,0.0,0.0,0.0,1.27873,3,6.028933710004286,3.924679249532011,2.377190184573961
500,10,Santa Clara,624.421627127,3,1250.0,3497.0,1901.0,110.0,105.0,164.0,871.0,172.0,668.0,948.0,1289.0,420.0,600.0,0.17157563625965114,69.0,9.0,13.0,2.0,0.0,3.0,42.0,251.81089525151845,1.24628939695,0.0,0.0,4,2077.776610000001,0.0,0.0,1.14839,3,4.939594984178867,0.2726656431266734,0.25840186043088836
505,10,Santa Clara,673.269394904,3,1934.0,5433.0,2725.0,242.0,421.0,237.0,1034.0,294.0,1060.0,1753.0,1754.0,572.0,854.0,0.15718755751886618,338.0,57.0,46.0,45.0,0.0,16.0,174.0,289.26127319558395,7.717280108659001,0.0,0.0,4,0.0,0.0,0.0,1.18771,3,6.5122547688441745,1.138129323613925,0.9688125492382618
518,10,Santa Clara,1146.23255838,3,2052.0,5444.0,2607.0,205.0,255.0,444.0,1148.0,237.0,1210.0,1150.0,2237.0,610.0,866.0,0.15907421013960324,2076.0,291.0,227.0,713.0,3.0,52.0,790.0,431.21537178071435,91.79754409325837,0.0,0.0,4,0.0,0.0,0.0,1.28672,2,3.9234212726296382,3.9693092407305697,1.9731159307119983
517,10,Santa Clara,795.389807162,3,1837.0,5245.0,2685.0,128.0,279.0,281.0,1149.0,316.0,1092.0,1546.0,1759.0,532.0,858.0,0.16358436606291707,2101.0,203.0,77.0,1634.0,0.0,2.0,185.0,297.9797343396973,29.160934036043,0.0,0.0,4,0.0,0.0,0.0,1.28051,3,5.615321412408736,6.422313711198016,2.995883770307455
516,10,Santa Clara,600.603998782,3,1234.0,3421.0,1562.0,93.0,116.0,94.0,931.0,212.0,766.0,724.0,1232.0,487.0,674.0,0.19701841566793332,313.0,1.0,22.0,203.0,0.0,6.0,81.0,251.78201789188077,24.920848078228,0.0,0.0,4,0.0,0.0,0.0,1.1056700000000002,2,4.459657458456917,1.1311772969992018,0.9023094922411216
514,10,Santa Clara,3659.05880609,3,2405.0,6990.0,2771.0,201.0,158.0,428.0,1618.0,347.0,1607.0,1292.0,2177.0,1567.0,1802.0,0.25779685264663804,875.0,124.0,133.0,348.0,3.0,26.0,241.0,1398.307130976176,85.14138088869899,0.0,0.0,4,0.0,0.0,0.0,1.03577,1,1.621222429200878,0.5898418401458496,0.4324907394971854
511,10,Santa Clara,4689.1507408,3,2808.0,6310.0,3174.0,204.0,305.0,439.0,1860.0,238.0,975.0,1281.0,2469.0,1347.0,1663.0,0.2635499207606973,5799.0,874.0,971.0,1089.0,0.0,363.0,2502.0,1229.4846691341822,496.7276403759877,0.0,0.0,5,1853.91687,0.0,0.0,1.16503,1,1.6266828735549905,3.3593781993395266,1.09598396465033
513,10,Santa Clara,5342.55249571,3,994.0,2670.0,1195.0,66.0,75.0,123.0,730.0,78.0,572.0,451.0,1138.0,431.0,639.0,0.2393258426966292,211.0,11.0,23.0,35.0,3.0,8.0,131.0,1084.1025036482897,28.480547816465897,0.0,0.0,4,0.0,0.0,0.0,0.99725,1,0.8934164498473739,0.18964876349878865,0.1564405567782539
508,10,Santa Clara,711.622828639,3,898.0,2261.0,1246.0,41.0,75.0,183.0,599.0,77.0,488.0,534.0,822.0,340.0,430.0,0.1901813356921716,2619.0,159.0,482.0,193.0,0.0,188.0,1597.0,183.43793701786342,68.82020107666,0.0,0.0,4,0.0,0.0,0.0,1.2482,2,3.559845508982197,10.382222035661886,2.6509057116930266
