zone_id,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL
592,12,12,3,1201,4607,293.0,129.0,4.0,416,1137,55,90,121,128,0,22,0.0,0.0,4,0.0,0.0,0.0,3,1.62648
593,12,12,3,829,2953,335.0,104.0,185.0,3036,630,109,500,261,968,3,1195,0.0,0.0,4,0.0,0.0,0.0,3,1.52384
594,12,12,3,1328,5473,190.0,156.0,21.0,477,1486,83,124,133,67,0,70,0.0,0.0,3,0.0,0.0,0.0,3,1.54405
595,12,12,3,2325,7251,275.0,148.0,65.0,1719,1548,79,109,1374,123,0,34,0.0,0.0,3,0.0,0.0,0.0,3,1.82841
596,12,12,3,717,2721,298.0,111.0,92.0,1110,711,221,154,512,172,3,48,0.0,0.0,3,5383.67627,0.0,0.0,3,1.36231
597,12,12,3,1846,6959,222.0,115.06239,108.0,948,2002,51,95,388,196,0,218,0.0,0.0,3,0.0,0.0,0.0,3,1.61556
598,12,12,3,4548,16008,517.0,322.09579,155.0,539,3245,124,136,103,89,0,87,0.0,0.0,4,0.0,0.0,0.0,3,1.52206
599,12,12,3,1371,4904,291.0,230.0,12.0,139,992,66,38,14,13,0,8,0.0,0.0,4,0.0,0.0,0.0,3,1.27004
600,12,12,3,1199,4504,288.0,277.0,3.0,380,941,75,72,127,44,0,62,0.0,0.0,4,0.0,0.0,0.0,3,1.23189
601,12,12,3,2734,8477,544.0,264.30673,121.0,1267,1338,109,380,281,242,5,250,0.0,0.0,4,0.0,0.0,0.0,3,1.41635
602,12,12,3,594,2039,360.39999,68.0,167.0,6442,394,137,973,540,3876,3,913,0.0,0.0,4,0.0,0.0,0.0,3,2.22318
603,12,12,3,289,955,399.20001,28.53342,305.0,9355,184,304,2118,841,4989,137,966,0.0,0.0,3,0.0,0.0,0.0,3,2.15063
604,12,12,3,811,2751,317.0,74.0,217.0,5038,531,34,473,680,763,2,3086,0.0,0.0,4,0.0,0.0,0.0,3,1.80295
605,12,12,3,3811,11115,1133.0,321.0,480.0,13279,1939,740,2089,1073,2202,6,7169,0.0,0.0,3,0.0,0.0,0.0,3,1.84735
606,12,12,3,5038,17799,499.0,217.05472000000003,243.0,2230,3826,184,511,250,426,13,846,0.0,0.0,4,0.0,0.0,0.0,3,1.76983
607,12,12,3,2074,5769,642.0,130.0,474.0,6593,741,1789,805,1420,2053,6,520,0.0,0.0,4,0.0,0.0,0.0,3,1.53001
608,12,12,3,1942,5957,810.90002,52.948,712.0,9967,760,505,1567,1136,2102,22,4635,0.0,0.0,4,0.0,0.0,0.0,3,1.59047
