TAP,LINES
398,SF_41 GG_054c_SB GG_054c_NB SF_38AXa SF_31BXa GG_024X_SB GG_72XaNB GG_024X_NB SF_CALIFORNc SF_1 GG_024a_SB GG_097_SB GG_008_NB GG_72cSB SF_1AXa GG_002_SB GG_002_NB SF_CALIFORN GG_044_NB GG_76SB GG_056_NB GG_76NB GG_058_NB SF_10 SF_41b SF_12 GG_024a_NB GG_058_SB GG_038_NB GG_004_NB SF_10e SF_10d GG_054a_NB GG_027b_SB SF_1BXa SF_82Xa GG_018_SB GG_72cNB GG_027c_NB SF_10a GG_027a_NB GG_027c_SB GG_027a_SB GG_027b_NB GG_018_NB SF_80X SF_31AXa SF_1c SF_1d GG_054a_SB SF_82X GG_72XaSB SF_41c GG_004_SB GG_044_SB GG_038_SB GG_008_SB SF_30X SF_38BXa SF_1b SF_30Xa GG_056_SB GG_74aNB SF_12a
401,SF_CALIFORN SF_31AXa SF_1c SF_38AXa SF_1BXa SF_31BXa SF_10d SF_10 SF_CALIFORNc SF_12 SF_1 SF_8BXa SF_8Xc SF_10a SF_30Xa SF_1AXa SF_30X SF_8AXa SF_38BXa GG_002_NB
404,SF_1 SF_27 SF_27a SF_1c
414,SF_12a SM_KX SF_47a SF_27b SM_292 SF_27 SF_12 SM_397 SF_19 SF_27c SM_292c SM_292b SM_292d
427,SF_21a SF_21b SF_14Xb SF_14Xa SF_21 SF_31a SF_31c SF_6 SF_NOWL SF_KOWL SF_NOWLa SF_LOWL SF_14g SF_14f SF_14 SF_14a SF_KOWLa SF_31 SF_6e SF_6d SF_6a SF_LOWLa SF_30Xa
428,SF_41 SF_12a SF_8BX SF_91 SF_45e SF_45d SF_45c SF_45a SF_10 SF_12 SF_10a SF_10e SF_10d SF_30i SF_30h SF_30c SF_30a SF_30g SF_30f SF_30e SF_8AX SF_8BXa SF_30d SF_91b SF_8Xa SF_8Xb SF_8Xc
430,SF_CALIFORNc SF_8BX SF_30d SF_CALIFORN SF_91 SF_45e SF_45d SF_45c SF_45a SF_PowellMc SF_PowellMb SF_30i SF_30h SF_30c SF_PowellHb SF_30a SF_30g SF_30f SF_30e SF_PowellHa SF_8AX SF_91b SF_8Xa SF_8Xb SF_PowellM
437,SF_10a SF_19 SF_19a SF_10 SF_10e
443,SF_2a SF_3 SF_27c SF_27 SF_27a
445,SF_38c SF_38 SF_2b SF_38b SF_2 SF_3 SF_38a SF_19a SF_38g SF_38f SF_38e SF_2a SF_19 SF_38h SF_3a
449,GG_72XaNB GG_054c_SB GG_054c_NB GG_002_NB GG_008_NB GG_024a_SB GG_044_NB GG_027b_NB GG_002_SB GG_044_SB SF_47a SF_91 GG_76NB GG_058_NB GG_008_SB GG_024a_NB GG_058_SB GG_038_NB SF_PowellMd GG_004_NB SF_PowellMa SF_PowellMc SF_30i SF_30h SF_30c SF_30a SF_30g SF_30f SF_30e SF_30d GG_027a_NB GG_027c_NB GG_018_SB GG_027b_SB SF_91b GG_054a_SB GG_018_NB GG_004_SB GG_72cNB GG_038_SB GG_027a_SB GG_054a_NB SF_PowellM GG_74aNB GG_027c_SB
477,SF_19 SF_27
478,SF_90a SF_12a SF_9c SF_27c SF_27b SF_9L SF_90 SF_27 SF_12 SF_9La SF_47a SF_9a SF_9b SF_9 SF_9d SF_9e SF_9f
483,SF_12a GG_054c_SB GG_054b_SB GG_092_SB GG_070_SB GG_024a_SB SF_8BX GG_024X_SB GG_092_NB GG_002_SB GG_054b_NB GG_024b_SB SF_12 SF_45a GG_044_SB GG_024b_NB GG_027a_SB GG_058_SB SF_30h SF_30g SF_30f SF_8AX GG_027c_SB GG_018_SB GG_027b_SB SF_91b SF_8Xa SF_8Xb GG_054a_SB GG_004_SB GG_038_SB GG_008_SB GG_097_SB GG_056_SB
495,SF_NOWL SF_47a SF_NOWLa SF_91 SF_45e SF_45c SF_45a SF_10 SF_10a SF_10e SF_10d SF_80X SF_30h SF_82Xa SF_30c SF_30b SF_30g SF_30f SF_30d SF_81X SF_91b SF_91c SF_82X
497,SF_NOWLa
501,SF_10a SF_10 SF_10e SF_47a
508,GG_101_SB GG_024b_SB SF_41 GG_056_SB GG_054b_SB SF_45f SF_45e SF_45d SF_45c SF_45a SF_49d SF_41c SF_41b SF_41a GG_070_SB GG_097_SB GG_101X_SB GG_024X_SB SF_90 GG_030_SB
510,SF_41 SF_45e SF_45d SF_45c SF_45a SF_41c SF_41b SF_19
511,SF_41 SF_45c SF_45e SF_45d SF_PowellHb SF_PowellHc SF_45a SF_PowellHa SF_41c SF_41b SF_PowellH
513,SF_91b SF_91c
517,GG_101_SB SF_12a SF_27c SF_27a GG_101_NB GG_054b_SB SF_49b SF_49f SF_27 SF_49d SF_1 GG_054b_NB SF_90a SF_10 SF_47a SF_90 GG_056_NB GG_024b_NB GG_024X_NB SF_12 SF_10a SF_19 SF_10e SF_10d GG_024b_SB SF_19a SF_49e GG_030_SB SF_1b SF_1c SF_1d GG_101X_NB GG_030_NB GG_070_SB GG_070_NB GG_101X_SB
518,GG_101_SB GG_101_NB GG_054b_SB SF_49b SF_49f SF_49e SF_49d SF_38c GG_070_SB GG_054b_NB SF_90a GG_024b_SB SF_47a SF_90 SF_19 SF_16X SF_38La GG_024b_NB SF_38g SF_38f SF_38 SF_31 SF_31a SF_19a GG_030_SB SF_31c SF_38L GG_101X_NB GG_030_NB SF_38b SF_38a GG_070_NB GG_101X_SB SF_38e SF_38h
524,SF_12a SF_1d SF_10d SF_10e SF_PowellHb SF_PowellHc SF_PowellHa SF_10 SF_10a SF_12 SF_1b SF_PowellM SF_PowellMd SF_PowellMa SF_PowellH SF_PowellMc SF_PowellMb
530,SF_39 SF_39a
534,SF_10a SF_10 SF_10e SF_NOWL SF_10d
536,SF_30c SF_91 SF_45e SF_45c SF_30d SF_30b
548,GG_72XaNB GG_054c_SB GG_044_NB GG_72XaSB GG_024a_SB GG_024X_SB GG_72cSB SF_10 GG_002_SB GG_044_SB GG_76SB GG_76NB GG_008_SB SF_12 GG_058_SB SF_10a SF_10d GG_72cNB GG_027c_SB GG_018_SB GG_027b_SB GG_054a_SB SF_82X GG_004_SB GG_038_SB GG_027a_SB GG_097_SB GG_056_SB GG_74aNB
549,GG_72XaNB GG_054c_SB GG_054c_NB GG_002_NB GG_044_NB GG_72XaSB GG_024a_SB GG_008_NB GG_72cSB GG_018_SB GG_002_SB GG_008_SB GG_76SB GG_76NB GG_058_NB GG_044_SB GG_024a_NB GG_058_SB GG_038_NB GG_004_NB GG_054a_NB GG_027b_SB SF_82Xa GG_72cNB GG_027c_NB GG_027a_NB GG_027c_SB GG_027b_NB GG_018_NB GG_054a_SB SF_82X GG_004_SB GG_038_SB GG_027a_SB GG_74aNB
