OMAZ,DMAZ,DISTBIKE
16466,16476,1.927166667
16466,16485,2.22
16466,16486,2.077666667
16466,16481,1.275
16466,16482,1.2245
16466,16483,1.551333333
16466,16484,1.192333333
16466,16493,1.744666667
16466,16490,2.100666667
16462,16500,0.5275
16461,16461,0.263666667
16461,16462,0.5275
16462,16461,0.5275
16462,16462,0.263666667
16441,16440,0.702333333
16441,16441,0.193666667
16439,16438,0.474
16439,16439,0.078833333
16439,16440,0.836166667
16439,16441,0.836166667
16440,16437,0.619166667
16440,16438,0.5305
16440,16439,0.914666667
16440,16440,0.265333333
16440,16441,0.614666667
16441,16437,0.597333333
16441,16438,0.387333333
16441,16439,0.897
16437,16440,0.616166667
16437,16441,0.616166667
16437,16437,0.184666667
16437,16438,0.597666667
16437,16439,1.367333333
16438,16441,0.362666667
16438,16437,0.666
16438,16438,0.181333333
16438,16439,0.474
16438,16440,0.362666667
16439,16437,1.38
16436,16436,0.179833333
16441,16698,1.265666667
16441,16704,1.966
16441,16707,1.438333333
16439,16698,0.183833333
16439,16699,1.614
16439,16701,1.371833333
16439,16707,0.501166667
16439,16704,1.056
16440,16698,1.265666667
16440,16707,1.415666667
16440,16704,1.970666667
16437,16698,1.576333333
16437,16707,1.883666667
16438,16698,0.657833333
16438,16707,0.975
16438,16701,1.845833333
16438,16704,1.53
17072,17047,0.5605
17072,17048,0.157
17072,17068,0.931333333
17072,17069,0.389333333
17072,17070,0.5665
17072,17072,0.0785
17070,17135,2.022
17069,17072,0.383166667
17069,17068,0.575833333
17069,17069,0.1385
17069,17070,0.2875
17070,17047,0.1835
17070,17048,0.452166667
17070,17068,0.859833333
17070,17069,0.2655
17070,17070,0.091833333
17070,17072,0.558166667
17068,17047,1.0975
17068,17048,0.951666667
17068,17072,0.963833333
17068,17068,0.142333333
17068,17069,0.8345
17068,17070,1.074166667
17069,17048,0.277166667
17069,17047,0.333333333
