MAZ,TAZ,COUNTY,DISTRICT,SD,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,totint,popden,retempden,access_dist_transit
100572,3134,1,1,1,95,218,66.5452,26.61808,39.92712,2,36,0,0,0,2,0,0,0,0,4,0,0.0,0.0,1,1,52.0,6.4637,0.0,0.333
100573,3148,1,1,1,19,53,9.3207,3.72828,5.59242,18,7,0,10,0,8,0,0,0,0,4,0,0.0,0.0,1,1,117.0,10.7288,1.0172,0.333
100574,3134,1,1,1,118,245,19.4645,7.785800000000001,11.6787,5,28,0,1,0,4,0,0,0,0,4,0,0.0,0.0,1,1,126.0,12.0831,1.1007,0.333
100575,3134,1,1,1,68,156,32.339,12.9356,19.4034,1,25,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,93.0,12.08,1.2616,0.333
100576,3134,1,1,1,65,150,8.242,3.2968000000000006,4.945200000000001,7,23,0,3,0,4,0,0,0,0,4,0,0.0,0.0,1,1,146.0,13.1208,1.06,0.333
100577,3134,1,1,1,35,59,12.2573,4.902920000000001,7.35438,1,6,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,169.0,15.9494,1.113,0.333
100578,3134,1,1,1,95,193,27.6463,11.05852,16.58778,69,16,0,35,0,34,0,0,0,0,4,0,0.0,0.0,1,1,134.0,15.5992,1.4064,0.333
100579,3134,1,1,1,56,103,14.9189,5.967560000000001,8.95134,20,14,0,11,0,9,0,0,0,0,4,0,0.0,0.0,1,1,163.0,20.6635,1.5893,0.333
100580,3134,1,1,1,20,43,8.0693,3.22772,4.84158,74,8,3,6,0,61,4,0,0,0,4,0,0.0,0.0,1,1,225.0,19.6349,1.0297,0.333
100581,3134,1,1,1,29,69,2.7315,1.0926,1.6389,8,10,0,0,0,8,0,0,0,0,4,0,0.0,0.0,1,1,237.0,23.4914,1.5177,0.333
100582,3148,1,1,1,149,323,11.8257,4.73028,7.09542,14,40,0,5,3,6,0,0,0,0,4,0,0.0,0.0,1,1,173.0,20.7267,1.57,0.333
100583,3148,1,1,1,108,249,14.8839,5.95356,8.93034,5,38,0,0,3,2,0,0,0,0,4,0,0.0,0.0,1,1,173.0,18.2243,1.2926,0.333
100584,3134,1,1,1,85,186,10.1123,4.04492,6.067379999999999,5,21,0,0,4,1,0,0,0,0,4,0,0.0,0.0,1,1,222.0,20.0468,1.1108,0.333
100585,3134,1,1,1,48,127,6.3865,2.5546,3.8319,4,14,0,0,3,1,0,0,0,0,4,0,0.0,0.0,1,1,182.0,15.5331,1.0604,0.333
100586,3129,1,1,1,31,75,1.3061,0.52244,0.78366,6,10,0,3,0,3,0,0,0,0,4,0,0.0,0.0,1,1,98.0,7.3288,0.504,0.333
100587,3208,1,1,1,111,254,20.7364,8.29456,12.44184,5,32,0,3,0,2,0,0,0,0,4,0,0.0,0.0,1,1,108.0,7.7689,0.4692,0.333
100588,3208,1,1,1,33,79,7.5024,3.00096,4.50144,1,10,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,107.0,7.1256,0.4182,0.333
100589,3208,1,1,1,77,162,13.6892,5.4756800000000005,8.213519999999999,9,18,0,5,3,1,0,0,0,0,4,0,0.0,0.0,1,1,158.0,11.3875,0.7915,0.333
100590,3135,1,1,1,105,215,22.4293,8.971720000000001,13.45758,9,25,0,5,0,4,0,0,0,0,4,0,0.0,0.0,1,1,60.0,5.9839,0.0,0.333
100591,3135,1,1,1,22,60,6.7348,2.6939200000000003,4.04088,0,13,0,0,0,0,0,0,0,0,4,0,0.0,0.0,1,1,56.0,5.637,0.0,0.333
100592,3129,1,1,1,71,163,13.4348,5.37392,8.06088,4,37,0,0,3,1,0,0,0,0,4,0,0.0,0.0,1,1,56.0,5.637,0.0,0.333
100593,3129,1,1,1,22,52,5.3476,2.13904,3.20856,0,13,0,0,0,0,0,0,0,0,4,0,0.0,0.0,1,1,73.0,6.336,0.4191,0.333
