Description,Expression,Alternatives,EatOut,OthDiscr,OthMaint,Shopping,Social,Escort,School,University,Work,WorkBased
Walk to heavy rail - Topology,c_topology_trn*tripTopology,WALK_HVY,1,1,1,1,1,1,1,1,1,1
Walk to heavy rail - Person is less than 10 years old,c_age010_trn,WALK_HVY,1,1,1,1,1,1,1,1,1,1
Walk to Commuter rail - Unavailable,walkCommuterAvailable==0,WALK_COM,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Walk to Commuter rail - In-vehicle time,c_ivt*WLK_COM_WLK_TOTIVT[tripPeriod]/100,WALK_COM,1,1,1,1,1,1,1,1,1,1
Walk to Commuter rail - In-vehicle time on commuter rail (incremental w/ ivt),(c_ivt_com-c_ivt)*WLK_COM_WLK_KEYIVT[tripPeriod]/100,WALK_COM,1,1,1,1,1,1,1,1,1,1
Walk to Commuter - Short iwait time,"c_shortiWait*min(WLK_COM_WLK_IWAIT[tripPeriod]/100,waitThresh)",WALK_COM,1,1,1,1,1,1,1,1,1,1
Walk to Commuter - Long iwait time,"c_longiWait*max(WLK_COM_WLK_IWAIT[tripPeriod]/100-waitThresh,0)",WALK_COM,1,1,1,1,1,1,1,1,1,1
Walk to Commuter - transfer wait time,c_xwait*WLK_COM_WLK_XWAIT[tripPeriod]/100,WALK_COM,1,1,1,1,1,1,1,1,1,1
Walk to Commuter - number of transfers,"c_xfers_wlk*max(WLK_COM_WLK_BOARDS[tripPeriod]-1,0)",WALK_COM,1,1,1,1,1,1,1,1,1,1
Walk to Commuter - Walk access time,c_wacc*originWalkTime,WALK_COM,1,1,1,1,1,1,1,1,1,1
Walk to Commuter - Walk egress time,c_wegr*destinationWalkTime,WALK_COM,1,1,1,1,1,1,1,1,1,1
Walk to Commuter - Walk other time,c_waux*WLK_COM_WLK_WAUX[tripPeriod]/100,WALK_COM,1,1,1,1,1,1,1,1,1,1
Walk to Commuter rail - Fare ,c_cost*WLK_COM_WLK_FAR[tripPeriod],WALK_COM,1,1,1,1,1,1,1,1,1,1
Walk to Commuter rail - Destination zone densityIndex,c_densityIndex*densityIndex,WALK_COM,1,1,1,1,1,1,1,1,1,1
Walk to Commuter rail - Topology,c_topology_trn*tripTopology,WALK_COM,1,1,1,1,1,1,1,1,1,1
Walk to Commuter rail - Person is less than 10 years old,c_age010_trn,WALK_COM,1,1,1,1,1,1,1,1,1,1
Drive to Local - Unavailable (outbound),(driveLocalAvailableOutbound)==0,DRIVE_LOC,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Local - Unavailable for zero auto households (outbound),1,DRIVE_LOC,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Local - Unavailable for persons less than 16 (outbound),1,DRIVE_LOC,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Local - In-vehicle time (outbound),c_ivt*DRV_LOC_WLK_TOTIVT[tripPeriod]/100,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
drive to Local - Short iwait time (outbound),"c_shortiWait*min(DRV_LOC_WLK_IWAIT[tripPeriod]/100,waitThresh)",DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
drive to Local - Long iwait time (outbound),"c_longiWait*max(DRV_LOC_WLK_IWAIT[tripPeriod]/100-waitThresh,0)",DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
drive to Local - transfer wait time (outbound),c_xwait*DRV_LOC_WLK_XWAIT[tripPeriod]/100,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
drive to Local - number of transfers (outbound),"c_xfers_drv*max(DRV_LOC_WLK_BOARDS[tripPeriod]-1,0)",DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local - Drive time (outbound),c_dtim*DRV_LOC_WLK_DTIM[tripPeriod]/100,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local - Walk egress time (outbound),c_wegr*destinationWalkTime,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local - Walk other time (outbound),c_waux*DRV_LOC_WLK_WAUX[tripPeriod]/100,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local - Fare and operating cost (outbound),c_cost*(DRV_LOC_WLK_FAR[tripPeriod]+(DRV_LOC_WLK_DDIST[tripPeriod]/100*costPerMile)),DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local - Ratio of drive access distance to OD distance (outbound),c_dacc_ratio*(DRV_LOC_WLK_DDIST[tripPeriod]/100/shortest_dist),DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local  - Destination zone densityIndex (outbound),c_densityIndex*densityIndex,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local  - Topology (outbound),c_topology_trn*tripTopology,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local  - Person is less than 10 years old (outbound),c_age010_trn,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local - Unavailable (inbound),(driveLocalAvailableInbound)==0,DRIVE_LOC,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Local - Unavailable for zero auto households (inbound),1,DRIVE_LOC,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Local - Unavailable for persons less than 16 (inbound),1,DRIVE_LOC,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Local - In-vehicle time (inbound),c_ivt*WLK_LOC_DRV_TOTIVT[tripPeriod]/100,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
drive to Local - Short iwait time (inbound),"c_shortiWait*min(WLK_LOC_DRV_IWAIT[tripPeriod]/100,waitThresh)",DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
drive to Local - Long iwait time (inbound),"c_longiWait*max(WLK_LOC_DRV_IWAIT[tripPeriod]/100-waitThresh,0)",DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
drive to Local - transfer wait time (inbound),c_xwait*WLK_LOC_DRV_XWAIT[tripPeriod]/100,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
drive to Local - number of transfers (inbound),"c_xfers_drv*max(WLK_LOC_DRV_BOARDS[tripPeriod]-1,0)",DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local - Drive time (inbound),c_dtim*WLK_LOC_DRV_DTIM[tripPeriod]/100,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local - Walk access time (inbound),c_wacc*originWalkTime,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local - Walk other time (inbound),c_waux*WLK_LOC_DRV_WAUX[tripPeriod]/100,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local - Fare and operating cost (inbound),c_cost*(WLK_LOC_DRV_FAR[tripPeriod]+(WLK_LOC_DRV_DDIST[tripPeriod]/100*costPerMile)),DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local - Ratio of drive access distance to OD distance (inbound),c_dacc_ratio*(WLK_LOC_DRV_DDIST[tripPeriod]/100/shortest_dist),DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local  - Destination zone densityIndex (inbound),c_densityIndex*densityIndex,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local  - Topology (inbound),c_topology_trn*tripTopology,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
Drive to Local  - Person is less than 10 years old (inbound),c_age010_trn,DRIVE_LOC,1,1,1,1,1,1,1,1,1,1
