MAZ,TAZ,COUNTY,DISTRICT,SD,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,access_dist_transit
15295,336,1,1,1,244,736,14.2984,10.72387998,3.57462666,4,154,0,0,1,3,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15296,336,1,1,1,194,531,25.2203,25.16381524,0.0,7,125,0,0,5,2,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15297,336,1,1,1,1,1,4.0435,0.0,4.04347247,148,0,9,44,11,84,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15298,336,1,1,1,80,212,19.7297,13.95796989,0.0,1,31,0,0,0,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15299,336,1,1,1,488,1310,35.0934,22.13917098,7.37972366,10,251,0,0,4,6,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16436,332,1,1,1,34,98,264.4282,84.11278668,0.0,3,18,0,0,2,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16437,332,1,1,1,28,83,81.6649,65.53114576,0.0,18,18,0,12,0,0,6,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16438,347,1,1,1,3,4,54.211,3.71025465,1.19643038,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16439,355,1,1,1,2,7,46.8726,0.0,0.86235021,47,2,16,11,0,0,0,20,0.0,0,5,0,0,0.0,1,0.0,0.333
16440,332,1,1,1,20,42,47.6767,31.96980699,0.57085896,18,2,0,0,18,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16441,332,1,1,1,5,16,16.7789,7.81063387,2.0545755,89,5,0,2,8,40,39,0,0.0,0,5,0,0,0.0,1,0.0,0.333
16461,331,1,1,1,0,0,110.3557,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
