MAZ,TAP,DISTWALK,walk_time
502,1681,0.6647000000000001,13.294
503,1238,0.6323000000000001,12.645999999999999
503,1333,0.84705,16.941
503,1558,0.7544,15.088
503,1559,0.66765,13.353
503,1603,0.15555000000000002,3.111
503,1604,0.09375,1.875
503,1606,0.34345,6.869
503,1607,0.75695,15.139000000000001
503,1608,0.72785,14.557
503,1611,0.77915,15.583
503,1651,0.46635,9.327
503,1652,0.7529,15.058
503,1665,0.46505,9.301
503,1681,0.8017999999999998,16.035999999999998
504,1238,0.86825,17.365
504,1333,0.8164,16.328
504,1558,0.8848499999999999,17.697
504,1559,0.8824,17.648
504,1603,0.2862,5.724
504,1604,0.32969999999999994,6.593999999999999
504,1606,0.5793999999999999,11.588
504,1607,0.9929,19.858
504,1608,0.8272999999999999,16.546
504,1651,0.33555,6.711
504,1652,0.62285,12.457
504,1665,0.2559,5.118
504,1681,0.59265,11.853
504,1748,0.99335,19.867
505,1238,0.898,17.96
505,1333,0.84615,16.923
505,1558,0.98805,19.761
505,1559,0.9335,18.67
505,1603,0.3893999999999999,7.7879999999999985
505,1604,0.35945,7.189
505,1606,0.6092,12.184000000000001
505,1608,0.8570499999999999,17.141
505,1651,0.2323,4.646
505,1652,0.5196500000000001,10.392999999999999
505,1653,0.9627,19.254
505,1658,0.95045,19.009
505,1665,0.19399999999999998,3.88
505,1681,0.53075,10.615
505,1748,0.89015,17.803
506,1238,0.76315,15.263
506,1333,0.7113,14.225999999999999
506,1558,0.88825,17.765
506,1559,0.7986500000000001,15.972999999999999
506,1603,0.2896000000000001,5.7920000000000025
506,1604,0.2246,4.492
506,1606,0.4743000000000001,9.486
506,1607,0.88785,17.757
506,1608,0.7222000000000001,14.444
506,1611,0.90875,18.175
506,1651,0.33290000000000003,6.6579999999999995
506,1652,0.6171,12.342
506,1665,0.3316000000000001,6.6320000000000014
506,1681,0.66835,13.367
506,1748,0.9739,19.477999999999998
507,1238,0.8437999999999999,16.875999999999998
507,1558,0.5828,11.655999999999999
507,1559,0.8566499999999999,17.133
507,1603,0.05595,1.119
507,1604,0.3053,6.106
507,1606,0.5549999999999999,11.1
507,1607,0.9685,19.37
507,1608,0.93935,18.787
507,1611,0.9907,19.814
507,1651,0.63945,12.789000000000001
507,1652,0.92675,18.535
507,1665,0.5149,10.298
507,1681,0.6604,13.208
508,1238,0.94495,18.899
508,1558,0.75575,15.115
508,1559,0.9578,19.156
508,1603,0.1571,3.142
508,1604,0.4064,8.128
508,1606,0.65615,13.123
508,1651,0.60445,12.089
508,1652,0.8917999999999999,17.836
508,1665,0.47995,9.599
508,1681,0.7558,15.116
509,1333,0.9597000000000004,19.194000000000006
509,1558,0.8243500000000001,16.487000000000002
509,1603,0.22569999999999996,4.513999999999999
509,1604,0.47295,9.459
509,1606,0.7227,14.454
509,1608,0.9706,19.412
509,1651,0.4285,8.57
509,1652,0.71585,14.317
509,1665,0.304,6.08
509,1681,0.51155,10.231
510,1333,0.95585,19.117
510,1558,0.8534500000000003,17.069000000000006
510,1603,0.25485,5.0969999999999995
510,1604,0.5021,10.042
510,1606,0.75185,15.037
510,1608,0.9997,19.994
510,1651,0.32865,6.5729999999999995
510,1652,0.616,12.32
510,1665,0.2041,4.082
510,1681,0.48,9.6
510,1748,0.98645,19.729
511,1333,0.8458,16.916
511,1603,0.44775,8.955
511,1604,0.5945,11.89
