primary_purpose,outbound,tour_hour,trip_num,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,HR25,HR26,HR27,HR28,HR29,HR30,HR31,HR32,HR33,HR34,HR35,HR36,HR37,HR38,HR39,HR40,HR41,HR42,HR43,HR44,HR45,HR46,HR47,HR48
work,FALSE,37,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00677597602579097,0.006425472371243884,0.006074968716696798,0.005724465062149713,0.005373961407602627,0.005023457753055542,0.005023457753055542,0.007241824377564099,0.0122268218469682,0.008631639935794116,0.04357799581586817,0.07784804087670505,0.07034929566124097,0.12820403754825666,0.10803751930693145,0.11224033914490393,0.18353580500934705,0.09456441792833854,0.1131205034584867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,37,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015578863867727303,0.004719746962833009,0.007702287911783145,0.01068482886073328,0.013667369809683418,0.016649910758633552,0.015092024371860824,0.01703938235532674,0.019063170828161436,0.021086959300996137,0.023110747773830834,0.08200327384640907,0.18744995907995718,0.11575794528123423,0.1039018050676953,0.07735696176569301,0.10306040440318079,0.044399762023022815,0.052056547822331524,0.06961804790890638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,37,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027486569700476974,0.015549545144841258,0.019598890722658847,0.02364823630047644,0.027697581878294027,0.06968579395925881,0.1116740060402236,0.09446959357693707,0.1746740623901104,0.07546730842401082,0.09774172285579068,0.12001613728757052,0.14229055171935037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,38,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00306582242537605,0.010768384551940671,0.05384368456501562,0.1379297950480319,0.4317140850768218,0.362678228332814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,38,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00491299962003032,0.004807597711351568,0.004702195802672816,0.0045967938939940655,0.006287883494874971,0.09528462357765094,0.07933247847137093,0.06303025189034563,0.11719261477327017,0.07220458631655628,0.11274563039291106,0.14706292845027924,0.11146253669715908,0.15621980570011884,0.020157073207414115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,38,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008262250892470176,0.042007008335523344,0.019858721921930292,0.03424085594177461,0.048622989961618936,0.037273293453469164,0.1183376147347846,0.088600451651689,0.1074206398223268,0.2662710496967396,0.0217936743143235,0.008147167967971403,0.06293362964426817,0.0742410681081394,0.06198958355297103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,38,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02087193052705776,0.02508438765097824,0.02929684477489872,0.0335093018988192,0.03772175902273968,0.041934216146660167,0.04785131413054473,0.23513213640781577,0.16721823824259138,0.09930434007736703,0.027784634011284035,0.1034205821531128,0.050423965427885846,0.0804463495282446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,39,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003980736956141425,0.015623232988321013,0.044387749236698505,0.13129307057675185,0.41582101119123094,0.38889419905085626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,39,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008235868321429831,0.007710148757068257,0.007184429192706683,0.006658709628345109,0.006132990063983535,0.00560727049962196,0.005081550935260387,0.004555831370898812,0.004030111806537238,0.003504392242175664,0.00297867267781409,0.0062690937969092754,0.007833283262552697,0.021573058065834858,0.014333575889372589,0.04717069997714583,0.09681052377852596,0.11860504964422727,0.08297330025321101,0.08648979255865137,0.035524864849152564,0.060705347315154576,0.05218098660368603,0.1944919766731068,0.10506114181130659,0.0082973300253211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,39,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007365819651312346,0.015103687925890372,0.041140696596240894,0.06717770526659143,0.09420111663020295,0.07979252322389252,0.07812067988015384,0.128737564091914,0.07325713560745942,0.15472150217509067,0.06185820371833192,0.0764788011399944,0.08830372570110774,0.03374083839181741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,39,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04854717269156136,0.07605688348436022,0.10356659427715907,0.060565056945186664,0.01756351961321427,0.07425529401003858,0.07669790236563195,0.14997615303343317,0.12408450446414342,0.13092380785980484,0.1377631112554663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015880892446384624,0.015739770771801824,0.015598649097219022,0.015457527422636216,0.015316405748053416,0.027772745557895388,0.08443636313867724,0.5961941504325048,0.21360349538482754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,40,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021278730757307147,0.022517338037841807,0.03943621100549383,0.056355083973145856,0.04215051584477793,0.0790985861384776,0.08393882499430144,0.06045039211697531,0.09374541922267664,0.10966346807066303,0.06339496709115462,0.08236149413072139,0.13298210398149835,0.10842964316683823,0.0041972214681269574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,FALSE,40,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029417226628695423,0.0382986278164786,0.04718002900426178,0.06373732436217341,0.04848394759173875,0.15607473016891182,0.07081924929130379,0.1212098689793469,0.04821156586369527,0.09165614275991818,0.14545184277521628,0.051752528328260466,0.08770691642999932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
