MAZ,TAZ,tot_acres,tot_hhs,hhs_pop,grppop,tot_pop,K_8,G9_12,e01_nrm,e02_constr,e03_manuf,e04_whole,e05_retail,e06_trans,e07_utility,e08_infor,e09_finan,e10_pstsvc,e11_compmgt,e12_admsvc,e13_edusvc,e14_medfac,e15_hospit,e16_leisure,e17_othsvc,e18_pubadm,tot_emp,parking_spaces,Univ_Enrollment,Univ_Tier,AreaType,COUNTY,TERMINAL,DISTRICT20,parking_daily,parking_hourly,AE_LOCAL,AE_PRM
22664,2103,6.4,35,104,0,104,0,0,0,0,0,0,1,0,0,0,3,1,0,2,0,0,0,0,0,0,7,0,0,0,4,5,0,16,0.0,,0.3826904296875,27.9676904296875
22665,2103,185.6,159,390,0,390,0,0,3,9,16,10,32,1,0,2,20,20,0,20,27,7,0,14,5,0,186,0,0,0,4,5,0,16,0.0,,0.566583984375,28.151583984375
22666,2103,12.8,11,28,0,28,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,4,5,0,16,0.0,,0.3872509765625,28.0142509765625
22667,2103,25.6,78,297,0,297,0,0,0,0,4,1,3,1,0,0,5,9,0,10,0,0,0,19,5,0,57,0,0,0,4,5,0,16,0.0,,0.162783203125,28.330783203125
22668,2103,19.2,20,51,0,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,0,16,0.0,,0.1740732421875,28.4830732421875
22669,2104,51.2,63,223,0,223,0,0,0,1,1,0,3,0,0,0,4,2,0,2,0,1,0,0,1,0,15,0,0,0,4,5,0,16,0.0,,0.318708740234375,28.486708740234373
22670,2104,12.8,48,167,0,167,0,0,0,0,0,3,1,2,0,0,2,0,0,24,0,0,0,0,1,0,33,0,0,0,4,5,0,16,0.0,,0.10001708984375,28.26801708984375
22671,2105,160.0,0,0,0,0,0,0,0,8,0,0,0,166,0,0,0,0,8,3,0,9,0,3,18,0,215,0,0,0,4,5,0,16,0.0,,0.6324677734374999,28.3454677734375
22672,2106,473.6,0,0,0,0,0,0,0,1,15,7,0,243,0,2,12,96,0,64,18,8,0,0,9,5,480,0,0,0,4,5,0,16,0.0,,0.94994189453125,26.93194189453125
22673,2106,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,16,0.0,,0.3511708984375,28.0611708984375
22674,2106,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,16,0.0,,0.19748095703125,27.78948095703125
22675,2107,25.6,58,152,0,152,0,0,0,0,0,0,4,1,0,0,8,3,0,9,2,41,0,53,3,0,124,0,0,0,4,5,0,16,0.0,,0.2279410400390625,31.722941040039064
22676,2107,51.2,143,299,0,299,0,0,0,6,0,1,26,2,0,2,29,12,0,14,0,53,0,177,19,0,341,0,0,0,4,5,0,16,0.0,,0.2721038055419922,31.834103805541996
22677,2107,12.8,29,69,0,69,0,0,0,0,1,0,2,2,0,0,3,1,0,3,0,23,0,14,1,0,50,0,0,0,4,5,0,16,0.0,,0.2665443725585937,31.878544372558597
22678,2107,12.8,23,58,0,58,0,0,0,3,0,2,3,0,0,0,4,2,0,0,0,12,0,9,2,0,37,0,0,0,4,5,0,16,0.0,,0.22810546875,31.54210546875
22679,2107,19.2,40,87,0,87,0,0,0,0,0,0,0,0,0,0,7,4,0,11,0,31,0,40,4,0,97,0,0,0,4,5,0,16,0.0,,0.246106689453125,31.504106689453124
22680,2107,6.4,3,9,0,9,0,0,3,1,0,1,0,0,0,0,7,1,0,0,0,8,0,1,6,0,28,0,0,0,4,5,0,16,0.0,,0.075927734375,31.348927734375
22681,2107,12.8,11,18,5,23,0,0,0,1,0,0,0,3,0,1,11,1,0,4,0,19,0,10,8,0,58,0,0,0,4,5,0,16,0.0,,0.06685595703125,31.61685595703125
22682,2108,12.8,17,51,0,51,0,0,0,0,1,0,30,0,0,0,4,2,0,4,3,22,0,8,11,0,85,0,0,0,4,5,0,16,0.0,,0.220478271484375,31.073478271484376
22683,2108,6.4,10,30,0,30,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,45,1,0,0,0,63,0,0,0,4,5,0,16,0.0,,0.186689697265625,31.147689697265623
22684,2108,19.2,0,0,0,0,0,0,0,3,1,6,91,0,0,0,13,0,0,4,0,15,0,2,5,0,140,0,0,0,4,5,0,16,0.0,,0.19406884765625,31.44806884765625
22685,2109,6.4,147,284,0,284,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,14,0,2,0,0,24,0,0,0,4,5,0,16,0.0,,0.3506103515625,32.5226103515625
22686,2109,6.4,201,372,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,16,0.0,,0.44925634765625,32.71725634765625
22687,2109,6.4,94,167,0,167,0,0,0,2,0,0,5,0,0,0,5,0,0,1,0,13,0,3,0,0,29,0,0,0,4,5,0,16,0.0,,0.277393310546875,32.071393310546874
22688,2109,230.4,1160,2213,0,2213,0,0,0,47,3,2,103,6,0,5,103,39,1,15,4,374,0,182,28,0,912,0,0,0,4,5,0,16,0.0,,0.34147607421875,32.55047607421875
22689,2109,6.4,0,0,0,0,0,0,0,1,0,0,55,0,0,0,3,1,0,0,0,14,0,14,3,0,91,0,0,0,4,5,0,16,0.0,,0.055389404296875,31.50438940429688
22690,2110,6.4,38,140,0,140,0,0,2,0,0,0,3,1,0,0,3,1,0,0,0,0,0,0,1,0,11,0,0,0,4,5,0,16,0.0,,0.45902734375,31.61302734375
22691,2110,12.8,21,45,0,45,0,0,0,9,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,0,17,0,0,0,4,5,0,16,0.0,,0.51243603515625,31.67243603515625
22692,2110,12.8,27,57,0,57,0,0,0,3,0,0,0,1,0,0,3,2,0,5,1,0,0,1,6,0,22,0,0,0,4,5,0,16,0.0,,0.437149169921875,31.597149169921877
22693,2110,12.8,19,44,0,44,0,0,1,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,1,0,8,0,0,0,4,5,0,16,0.0,,0.51861474609375,31.88661474609375
22694,2110,198.4,42,95,0,95,768,0,0,4,1,4,10,0,0,0,2,2,0,8,43,4,0,2,52,39,171,0,0,0,4,5,0,16,0.0,,0.6246738281249999,32.560673828125
22695,2110,12.8,54,96,0,96,0,0,0,2,0,0,4,0,0,0,6,3,0,0,0,1,0,1,9,0,26,0,0,0,4,5,0,16,0.0,,0.3188364868164062,31.755836486816406
22696,2110,32.0,378,757,0,757,0,0,5,1,1,0,0,0,0,0,5,8,0,7,0,0,0,1,2,0,30,0,0,0,4,5,0,16,0.0,,0.305319091796875,31.74231909179688
22697,2110,12.8,44,96,0,96,0,0,0,0,0,0,1,0,0,0,4,2,0,4,0,0,1,12,1,0,25,0,0,0,4,5,0,16,0.0,,0.2552517395019531,31.503251739501952
22698,2110,12.8,20,52,0,52,0,0,0,2,1,0,0,1,0,0,2,1,0,0,0,0,0,0,3,0,10,0,0,0,4,5,0,16,0.0,,0.209982421875,31.457982421875
22699,2110,12.8,28,75,0,75,0,0,0,0,0,0,0,2,0,0,3,3,0,1,0,1,1,0,1,0,12,0,0,0,4,5,0,16,0.0,,0.27290966796875,31.52090966796875
22700,2110,6.4,15,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,5,0,16,0.0,,0.56068310546875,31.93568310546875
22701,2110,12.8,61,154,0,154,0,0,0,0,1,1,0,0,0,0,2,2,0,2,0,0,0,8,2,0,18,0,0,0,4,5,0,16,0.0,,0.3779569091796875,31.62595690917969
22702,2110,44.8,44,112,2,114,0,0,0,2,0,0,1,0,1,0,1,5,0,8,0,0,0,1,5,0,24,0,0,0,4,5,0,16,0.0,,0.26040185546875,31.80740185546875
22703,2110,6.4,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,4,3,0,14,0,0,0,4,5,0,16,0.0,,0.0721435546875,31.4761435546875
22704,2110,19.2,53,178,0,178,0,0,0,0,1,0,0,0,0,0,11,3,0,1,0,0,0,2,5,0,23,0,0,0,4,5,0,16,0.0,,0.3663302001953125,31.520330200195318
22705,2110,19.2,26,69,0,69,0,0,0,2,0,0,0,4,0,0,2,5,0,6,0,0,1,1,3,0,24,0,0,0,4,5,0,16,0.0,,0.4773544921875,31.6313544921875
22706,2110,12.8,21,44,0,44,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,2,0,7,0,0,0,4,5,0,16,0.0,,0.43828515625,31.69228515625
22707,2110,6.4,16,34,0,34,0,0,0,4,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,10,0,0,0,4,5,0,16,0.0,,0.45144091796875,31.86344091796875
22708,2110,6.4,14,26,0,26,0,0,0,0,1,0,2,0,0,0,5,0,0,4,0,0,0,0,1,0,13,0,0,0,4,5,0,16,0.0,,0.45943505859375,31.74843505859375
22709,2110,12.8,12,26,0,26,0,0,0,2,0,0,2,1,1,0,2,2,0,0,0,0,0,0,0,0,10,0,0,0,4,5,0,16,0.0,,0.42064599609375,31.67464599609375
22710,2110,6.4,10,22,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,0,4,5,0,16,0.0,,0.180093017578125,31.613093017578127
22711,2111,192.0,223,464,0,464,0,0,0,4,2,10,176,5,0,11,19,8,0,4,2,5,0,100,23,0,369,0,0,0,4,5,0,16,0.0,,0.746142578125,31.882142578125
22712,2111,6.4,128,226,0,226,0,0,0,0,0,0,18,3,0,0,12,3,0,1,0,0,0,11,1,0,49,0,0,0,4,5,0,16,0.0,,0.4155751953125,32.3655751953125
22713,2111,12.8,8,15,0,15,0,0,0,3,0,0,10,0,0,15,0,3,0,1,0,0,0,9,4,0,45,0,0,0,4,5,0,16,0.0,,0.20155615234375,31.22355615234375
22714,2112,12.8,51,206,0,206,0,0,0,5,6,5,6,4,0,3,25,12,0,3,99,16,0,15,17,16,232,0,0,0,4,5,0,16,0.0,,0.20653515625,31.37553515625
22715,2112,6.4,60,173,0,173,0,0,0,3,0,0,1,0,0,0,1,1,0,1,112,0,1,0,1,0,121,0,0,0,4,5,0,16,0.0,,0.2383007812499999,31.23730078125
22716,2112,108.8,42,139,0,139,0,611,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,7,0,0,0,4,5,0,16,0.0,,0.39198291015625,31.39098291015625
22717,2112,6.4,33,117,0,117,0,0,0,0,0,0,0,2,0,0,0,1,0,3,39,0,0,0,0,0,45,0,0,0,4,5,0,16,0.0,,0.296,31.295
22718,2112,12.8,31,77,0,77,0,0,0,0,0,1,0,0,0,0,2,1,0,6,2,0,0,0,0,0,12,0,0,0,4,5,0,16,0.0,,0.3716201171875,31.3706201171875
22719,2112,12.8,24,89,0,89,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,5,0,0,0,4,5,0,16,0.0,,0.43785888671875,31.43685888671875
22720,2113,6.4,28,71,0,71,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,4,5,0,16,0.0,,0.3607548828125,31.0197548828125
22721,2113,6.4,35,79,0,79,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,16,0.0,,0.28636083984375,30.71036083984375
22722,2113,6.4,31,66,0,66,0,0,0,4,0,0,2,0,0,0,0,1,0,2,0,0,0,0,2,0,11,0,0,0,4,5,0,16,0.0,,0.3245625,30.6455625
22723,2113,6.4,20,52,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,4,5,0,16,0.0,,0.37064208984375,30.69164208984375
22724,2113,160.0,592,1321,0,1321,0,289,1,8,3,1,1,8,0,1,25,1,0,17,0,23,0,1,11,0,101,0,0,0,4,5,0,16,0.0,,0.26881005859375,31.13381005859375
22725,2113,6.4,39,95,0,95,0,0,3,0,2,0,0,0,0,0,0,1,0,5,0,3,0,0,0,0,14,0,0,0,4,5,0,16,0.0,,0.283727294921875,30.72372729492188
22726,2113,6.4,58,128,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,5,108,1,0,0,0,0,114,0,0,0,4,5,0,16,0.0,,0.35258935546875,30.73758935546875
22727,2113,6.4,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,16,0.0,,0.08856201171875,31.37856201171875
22728,2113,12.8,49,99,0,99,0,0,0,0,0,0,6,0,0,0,2,0,0,3,0,1,0,1,1,0,14,0,0,0,4,5,0,16,0.0,,0.3910546875,30.8180546875
22729,2113,6.4,9,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,4,5,0,16,0.0,,0.168806884765625,30.704806884765624
22730,2113,6.4,22,52,0,52,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,21,0,0,0,4,5,0,16,0.0,,0.2705278320312499,30.64352783203125
22731,2114,64.0,19,35,0,35,0,0,0,0,1,3,2,1,0,0,0,3,0,4,0,38,0,29,3,0,84,0,0,0,4,5,0,16,0.0,,0.12445068359375,31.14645068359375
22732,2114,44.8,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,3,0,33,0,36,0,0,78,0,0,0,4,5,0,16,0.0,,0.47312109375,31.60912109375
22733,2115,51.2,0,0,0,0,0,0,0,4,181,4,30,5,0,0,9,13,0,7,0,3,0,76,8,0,340,0,0,0,4,5,0,16,0.0,,0.26762841796875,30.94662841796875
22734,2115,1305.6,141,376,4,380,0,0,0,15,168,22,101,45,0,5,35,393,0,24,1,16,0,325,54,0,1204,0,0,0,4,5,0,16,0.0,,1.735798828125,33.819798828125
22735,2115,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,16,0.0,,0.17137939453125,30.85037939453125
22736,2115,32.0,0,0,0,0,0,0,0,6,7,1,77,1,0,1,13,17,0,29,3,4,0,113,0,0,272,0,0,0,4,5,0,16,0.0,,0.46615625,31.66915625
22737,2116,19.2,93,198,0,198,0,0,0,50,29,10,25,0,0,2,81,104,1,49,0,14,0,4,50,0,419,0,0,0,2,5,3,15,8.181818,1.2,0.1033818359375,36.1603818359375
22738,2117,12.8,36,83,0,83,0,409,0,7,10,7,42,2,0,32,166,136,1,13,0,36,0,139,17,0,608,0,0,0,1,5,5,15,17.1,1.9,0.075688232421875,36.08068823242188
22739,2118,6.4,18,35,0,35,0,0,0,4,0,5,2,0,0,3,7,18,3,6,58,14,12,128,7,0,267,0,0,0,1,5,5,15,17.1,1.9,0.0552978515625,36.0322978515625
22740,2119,12.8,118,252,0,252,0,0,2,3,0,0,8,0,0,1,2,66,0,8,0,22,0,26,1,0,139,0,0,0,2,5,3,15,17.1,1.9,0.029693603515625,36.19169360351562
22741,2119,12.8,80,152,0,152,0,0,5,4,0,0,3,0,0,0,6,25,0,1,0,38,0,5,2,0,89,0,0,0,2,5,3,15,17.1,1.9,0.115717041015625,36.02071704101562
22742,2119,12.8,22,44,0,44,0,0,0,1,1,0,4,0,0,1,1,31,0,7,0,8,0,12,4,5,75,0,0,0,2,5,3,15,17.1,1.9,0.15195166015625,36.30695166015625
22743,2119,32.0,20,39,0,39,0,0,0,25,10,4,9,4,0,5,18,268,0,21,0,8,0,61,11,0,444,0,0,0,2,5,3,15,17.1,1.9,0.06549072265625,35.95449072265625
22744,2120,12.8,86,185,0,185,0,0,0,0,3,11,17,3,0,0,7,17,0,0,0,7,0,2,4,0,71,0,0,0,2,5,3,15,17.1,1.9,0.056966552734375,35.87196655273438
