,omaz,idx,btap,dmaz,atap,tod,utility,transit_type
1124883,2173,3391,2144,13581,707,PM,-1.20767808015,local_bus
534197,17263,1518,264,9337,1841,PM,-1.20743460891,local_bus
2173785,12155,7735,731,14334,348,PM,-1.20740101857,local_bus
646520,373,3145,1238,14795,225,AM,-1.20709998934,local_bus
1858606,10415,6228,1419,5491,1234,AM,-1.20685075492,local_bus
1603446,14984,7266,228,14587,227,AM,-1.20676786294,local_bus
359550,8929,6343,1443,9972,1469,AM,-1.20640026837,local_bus
6210,9863,9,1443,13751,684,AM,-1.20599336337,local_bus
1547127,17883,4916,307,13913,682,PM,-1.20591751594,local_bus
1604638,6430,5166,1460,562,1559,PM,-1.20561053091,local_bus
25783,152,67,1764,18230,396,AM,-1.2051611819,local_bus
954375,12127,2851,731,12199,859,AM,-1.20504850557,local_bus
1493465,9612,8284,1462,9047,1768,AM,-1.20409979821,local_bus
1224634,5321,3731,1556,10932,1134,AM,-1.20402755232,local_bus
2377830,8754,8844,1590,9420,1728,AM,-1.20383505255,local_bus
2333595,10898,8603,1145,1845,2044,AM,-1.20348322557,local_bus
53430,810,131,1977,15152,75,PM,-1.20317948235,local_bus
186563,13495,493,686,2367,1915,PM,-1.20301593282,local_bus
1159096,8205,3521,2359,19799,572,PM,-1.20276452187,local_bus
212188,2258,775,2146,20281,714,PM,-1.20212770627,local_bus
2145787,3247,7605,1595,687,1660,PM,-1.20209979395,local_bus
239902,2115,641,2144,4050,1212,PM,-1.20203313367,local_bus
1001104,11187,3009,1145,9310,1960,PM,-1.20183094407,local_bus
1819696,14970,6061,228,19870,597,AM,-1.20181786294,local_bus
2301137,12486,8444,747,11015,1205,AM,-1.20175889382,local_bus
1375823,240,4325,1507,17612,297,PM,-1.20164756733,local_bus
1853605,682,6209,1238,10467,1399,PM,-1.20138448392,local_bus
1278991,10436,3952,1419,1522,2025,PM,-1.20125168407,local_bus
1570138,5656,5017,1460,7854,2148,AM,-1.20071613141,local_bus
1316903,4731,4095,1669,518,1681,PM,-1.20004198107,local_bus
337750,3415,919,1556,2124,2033,PM,-1.19970354057,local_bus
1413539,18817,4455,562,1710,2140,AM,-1.19963132757,local_bus
13284,9122,1248,1841,3359,1356,PM,-1.19943495432,local_bus
364076,11190,4106,1223,915,1584,PM,-1.19916810048,local_bus
302407,22580,820,1764,3919,1386,PM,-1.19908490585,local_bus
