ZONE,COUNTY,EXTERNAL,DISTRICT,SUPER_DIST_25,tot_acres,tot_hhs,hhs_pop,workers,grppop,tot_pop,tot_emp,e01_nrm,e02_constr,e03_manuf,e04_whole,e05_retail,e06_trans,e07_utility,e08_infor,e09_finan,e10_pstsvc,e11_compmgt,e12_admsvc,e13_edusvc,e14_medfac,e15_hospit,e16_leisure,e17_othsvc,e18_pubadm,WrkPrkCost,NonWrkPrk,PRKCST,OPRKCST,AirportADT,AreaType,UMI,CBD,DET,K_8,G9_12,k12enroll,Univ_Enrollment,University_Name,TERMINAL,TOPOLOGY,parking_spaces
190,1,0,48,1,4.960128,0.0,0.0,0.0,0.0,0.0,1790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,1767.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
191,1,0,48,1,5.962071,0.0,0.0,0.0,0.0,0.0,1921.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,83.0,1467.0,102.0,40.0,0.0,0.0,0.0,5.0,36.0,181.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
192,1,0,48,1,6.9774009999999995,0.0,0.0,0.0,0.0,0.0,2665.0,0.0,12.0,18.0,6.0,38.0,2.0,0.0,16.0,1572.0,579.0,0.0,68.0,1.0,137.0,0.0,78.0,62.0,76.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
193,1,0,48,1,17.941113,205.0,260.0,174.0,0.0,260.0,5593.0,0.0,75.0,125.0,27.0,63.0,2.0,0.0,311.0,2547.0,733.0,192.0,107.0,16.0,110.0,0.0,274.0,52.0,959.0,120.0,59.0,15.0,7.375,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
194,1,0,50,1,59.87315600000001,0.0,0.0,0.0,0.0,0.0,731.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,35.0,8.0,0.0,74.0,6.0,0.0,0.0,370.0,212.0,3.0,160.0,112.0,20.0,14.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
195,1,0,50,1,7.658772,0.0,0.0,0.0,0.0,0.0,2102.0,0.0,1.0,6.0,1.0,0.0,4.0,0.0,198.0,296.0,1150.0,0.0,89.0,0.0,11.0,0.0,297.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
196,1,0,50,1,8.358943,0.0,0.0,0.0,0.0,0.0,3608.0,7.0,53.0,57.0,12.0,35.0,211.0,0.0,30.0,252.0,943.0,3.0,123.0,6.0,48.0,0.0,97.0,134.0,1597.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
197,1,0,50,1,9.471862,0.0,0.0,0.0,0.0,0.0,4889.0,0.0,25.0,22.0,38.0,58.0,61.0,3.0,80.0,1681.0,1292.0,7.0,241.0,36.0,138.0,0.0,165.0,211.0,831.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
198,1,0,51,1,49.823411,763.0,943.0,655.0,0.0,943.0,231.0,0.0,2.0,0.0,23.0,6.0,4.0,0.0,2.0,43.0,52.0,2.0,15.0,0.0,18.0,0.0,42.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
199,1,0,51,4,49.36785,0.0,0.0,0.0,0.0,0.0,1329.0,0.0,2.0,0.0,1.0,14.0,923.0,0.0,0.0,5.0,0.0,0.0,22.0,271.0,28.0,0.0,13.0,50.0,0.0,76.0,35.0,9.5,4.375,0.0,3,0,1,0,0.0,0.0,0.0,3983.0,WCCCD - Downtown,0,1,0.0
