zone_id,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL
82,2,2,1,1843,3417,76.0,29.0,15.0,2263,107,359,320,911,637,1,35,70.85715,100.38096,1,0.0,0.0,0.0,1,4.24141
83,2,2,1,2256,3948,119.0,60.0,2.0,370,116,97,121,98,38,10,6,0.0,0.0,3,0.0,0.0,0.0,1,2.24702
84,2,2,1,2391,4924,117.0,42.0,4.0,1408,293,143,175,207,857,1,25,74.43172,105.44494,1,0.0,0.0,0.0,1,4.80294
85,2,2,1,1912,4020,77.0,26.0,11.0,1747,200,338,281,424,671,1,32,130.76346,202.2475,2,0.0,0.0,0.0,1,4.27539
86,2,2,1,3249,6875,125.0,51.18573,16.37736,1202,815,97,305,650,139,0,11,0.0,0.0,2,0.0,0.0,0.0,1,3.40842
87,2,2,1,2444,5345,93.0,43.0,14.0,2793,273,116,239,2240,181,1,16,0.0,0.0,2,0.0,0.0,0.0,1,4.61106
88,2,2,1,2611,5381,85.0,40.0,11.0,1397,216,485,196,592,95,1,28,0.0,0.0,2,340.63205,0.0,0.0,2,3.88504
89,2,2,1,3630,7494,150.0,89.0,5.0,1249,506,264,227,463,217,0,78,0.0,0.0,2,138.67621,0.0,0.0,1,2.83676
90,3,3,1,2115,4520,86.0,42.0,9.0,3539,328,139,744,2164,451,1,40,0.0,0.0,1,0.0,0.0,0.0,1,5.39812
91,3,3,1,2282,5057,320.0,91.0,100.0,8627,459,129,2037,5499,881,10,71,0.0,0.0,1,0.0,3598.08521,0.0,1,3.2910000000000004
92,3,3,1,1111,3341,283.0,83.0,75.0,14267,315,77,4223,8158,1686,5,118,0.0,0.0,3,0.0,0.0,0.0,1,5.1368
93,3,3,1,4322,7454,227.0,109.0,1.0,623,234,183,178,164,82,0,16,0.0,0.0,3,0.0,0.0,0.0,1,2.30413
94,3,3,1,1362,2679,68.0,36.0,5.0,1335,84,201,342,567,199,0,26,0.0,61.0,2,0.0,0.0,0.0,1,3.41718
95,3,3,1,1475,2960,86.0,51.0,3.0,1769,222,122,375,503,746,0,23,0.0,0.0,3,0.0,0.0,0.0,1,3.24494
96,3,3,1,1234,2629,75.0,44.0,1.0,348,213,85,99,93,65,0,6,0.0,0.0,3,0.0,0.0,0.0,1,2.23257
97,3,3,1,1683,3420,84.0,47.0,5.0,1292,239,158,151,372,575,0,36,0.0,0.0,3,0.0,0.0,0.0,1,3.09335
98,3,3,1,1937,4039,106.0,60.065430000000006,5.0,1048,290,228,331,330,142,2,15,0.0,0.0,3,0.0,0.0,0.0,1,2.65477
99,3,3,1,2033,4294,72.0,38.0,4.0,1070,335,148,164,548,163,0,47,0.0,102.04769,2,337.93695,0.0,0.0,1,3.74661
100,3,3,1,1788,4526,80.0,27.0,19.0,2554,620,272,435,1172,603,0,72,0.0,94.95461,1,0.0,0.0,0.0,2,4.97035
101,3,3,1,2672,6967,87.0,34.27186,19.0,2465,1081,344,531,985,499,3,103,0.0,68.0,1,0.0,630.77667,108.22552,2,5.12947
102,3,3,1,2758,5292,81.0,45.30532,3.0,1062,359,115,211,317,351,1,67,0.0,80.41871,2,0.0,0.0,0.0,1,3.72235
103,3,3,1,2676,4899,137.0,67.0,8.0,985,164,200,205,426,136,0,18,0.0,61.0,2,1156.5407699999996,0.0,0.0,1,2.58283
104,3,3,1,1846,3396,68.0,24.79696,13.0,1658,141,209,235,817,362,5,30,0.0,63.36966999999999,2,0.0,0.0,0.0,1,4.3233
105,3,3,1,3247,6362,80.0,34.45499,10.0,1246,601,149,283,526,241,0,47,48.0,68.0,1,0.0,0.0,0.0,1,4.11499
106,3,3,1,3415,7176,110.0,22.22288,38.0,8724,1070,408,1993,1850,4149,4,320,73.85396999999998,104.62646,1,0.0,0.0,0.0,2,4.519419999999998
107,3,3,1,823,2357,223.0,10.25827,106.0,13106,305,1305,4234,3276,3026,3,1262,48.0,68.0,1,0.0,215.40848,0.0,2,4.10989
108,3,3,1,1811,3453,113.7,9.53398,103.0,5452,334,278,1835,1090,1407,1,841,0.0,0.0,2,0.0,1028.61108,137.08003,3,3.50406
109,3,3,1,3738,7741,142.8,23.63865,135.0,4896,748,289,2072,1631,696,2,206,68.01318,136.02635,2,0.0,0.0,0.0,3,3.3061199999999995
110,3,3,1,3677,6948,263.89999,7.0,63.81361999999999,8645,665,55,4783,2138,1054,18,597,0.0,0.0,3,0.0,0.0,0.0,3,7.822889999999999
111,3,3,1,1372,2577,327.0,11.75597,213.92075,5358,110,194,1561,1365,1493,4,741,0.0,0.0,3,0.0,0.0,0.0,2,2.11269
112,3,3,1,1012,2144,67.0,28.0,10.0,1743,111,102,715,488,304,1,133,0.0,0.0,3,0.0,227.78223,41.22827,1,3.83527
113,3,3,1,2603,6014,186.0,82.0,27.0,2023,1002,124,393,931,407,1,167,0.0,0.0,3,0.0,0.0,0.0,1,2.64155
114,3,3,1,1717,3358,146.0,48.58375,20.0,2332,201,394,576,489,612,0,261,0.0,0.0,3,0.0,0.0,0.0,1,3.1978
115,3,3,1,691,2411,74.0,17.3551,26.0,23904,338,52,5238,15820,2268,7,519,0.0,0.0,1,0.0,0.0,0.0,1,25.52083
116,3,3,1,1854,5133,143.0,36.0,49.0,5179,823,229,1153,1050,2203,0,544,0.0,0.0,1,0.0,0.0,0.0,2,4.549930000000002
117,3,3,1,1517,4593,70.0,35.0,9.0,680,835,67,135,318,126,0,34,0.0,0.0,1,0.0,0.0,0.0,3,3.3532900000000003
118,3,3,1,1446,4798,62.0,27.0,8.0,586,847,69,188,67,248,1,13,0.0,0.0,2,0.0,0.0,0.0,3,3.97008
119,3,3,1,803,2644,39.0,20.0,4.0,526,487,113,94,228,73,0,18,0.0,0.0,2,0.0,0.0,0.0,3,3.72995
